frame,elapsed_s,zoom,render_us,diff_us,encode_us,reset_us,total_us,interval_us,bytes,changed_cells,glyph_changes,color_only_changes
0,0.000000,0.000000,528.085,52.446,0.070,3.594,584.195,0.000,19,0,0,0
1,0.040000,0.013333,572.093,77.146,64.055,3.567,716.861,0.000,25548,1668,1380,288
2,0.080000,0.026667,567.748,78.284,65.439,3.471,714.942,0.000,26095,1743,1398,345
3,0.120000,0.040000,591.042,93.178,72.687,4.272,761.179,0.000,25773,1814,1510,304
4,0.160000,0.053333,675.347,79.460,70.377,3.586,828.770,0.000,26596,1790,1516,274
5,0.200000,0.066667,632.845,84.906,75.609,3.577,796.937,0.000,28969,1919,1614,305
6,0.240000,0.080000,631.838,80.853,77.649,3.581,793.921,0.000,30655,1988,1663,325
7,0.280000,0.093333,635.103,81.903,89.084,3.635,809.725,0.000,31366,2043,1737,306
8,0.320000,0.106667,690.032,92.790,85.144,3.583,871.549,0.000,32365,2048,1796,252
9,0.360000,0.120000,660.584,100.478,102.777,4.408,868.247,0.000,33959,2147,1889,258
10,0.400000,0.133333,650.915,87.853,96.803,3.964,839.535,0.000,34825,2138,1847,291
11,0.440000,0.146667,656.721,88.997,91.722,3.600,841.040,0.000,35742,2212,1915,297
12,0.480000,0.160000,617.132,85.052,108.694,3.569,814.447,0.000,38327,2249,1972,277
13,0.520000,0.173333,620.116,90.980,93.988,3.467,808.551,0.000,38781,2395,2101,294
14,0.560000,0.186667,618.441,89.897,99.538,3.473,811.349,0.000,39865,2252,1988,264
15,0.600000,0.200000,615.177,89.200,99.754,3.555,807.686,0.000,39385,2346,2083,263
16,0.640000,0.213333,623.746,89.876,104.520,3.562,821.704,0.000,41658,2384,2136,248
17,0.680000,0.226667,627.997,92.857,106.314,3.571,830.739,0.000,42694,2456,2191,265
18,0.720000,0.240000,633.297,91.571,103.602,3.561,832.031,0.000,42145,2419,2150,269
19,0.760000,0.253333,636.823,98.441,115.535,3.750,854.549,0.000,41820,2431,2197,234
20,0.800000,0.266667,640.359,90.071,96.301,3.494,830.225,0.000,43616,2414,2184,230
21,0.840000,0.280000,631.905,88.607,115.643,3.780,839.935,0.000,45326,2435,2176,259
22,0.880000,0.293333,744.727,94.721,115.202,3.582,958.232,0.000,45177,2484,2242,242
23,0.920000,0.306667,847.475,106.933,137.532,3.965,1095.905,0.000,47142,2574,2339,235
24,0.960000,0.320000,1253.407,95.644,120.170,3.572,1472.793,0.000,50372,2622,2440,182
25,1.000000,0.333333,1655.250,111.656,138.327,3.563,1908.796,0.000,51279,2668,2497,171
26,1.040000,0.346667,1794.155,99.058,155.818,4.675,2053.706,0.000,52453,2702,2502,200
27,1.080000,0.360000,2053.505,96.754,141.266,3.571,2295.096,0.000,57439,2831,2644,187
28,1.120000,0.373333,2312.578,93.798,137.739,3.578,2547.693,0.000,57533,2967,2786,181
29,1.160000,0.386667,2642.428,97.660,146.359,3.564,2890.011,0.000,62580,3092,2926,166
30,1.200000,0.400000,3132.095,106.925,183.010,3.975,3426.005,0.000,64768,3332,3151,181
