frame,elapsed_s,zoom,render_us,diff_us,encode_us,reset_us,total_us,interval_us,bytes,changed_cells,glyph_changes,color_only_changes
0,0.000000,0.000000,2201.337,278.944,0.221,18.620,2499.122,0.000,19,0,0,0
1,0.040000,0.013333,2130.685,334.241,392.860,16.423,2874.209,0.000,104138,8976,7927,1049
2,0.080000,0.026667,2392.244,312.442,272.056,14.232,2990.974,0.000,105745,9090,8068,1022
3,0.120000,0.040000,2122.394,312.084,281.688,13.949,2730.115,0.000,109970,9323,8265,1058
4,0.160000,0.053333,2131.340,314.937,290.027,13.903,2750.207,0.000,114899,9514,8550,964
5,0.200000,0.066667,2216.875,333.189,297.401,13.873,2861.338,0.000,114695,9500,8558,942
6,0.240000,0.080000,2297.145,349.712,329.722,21.599,2998.178,0.000,120427,9671,8685,986
7,0.280000,0.093333,2645.158,326.202,326.318,18.252,3315.930,0.000,125831,9924,8944,980
8,0.320000,0.106667,2399.332,333.203,391.101,14.254,3137.890,0.000,127107,10068,9141,927
9,0.360000,0.120000,2304.323,328.795,320.935,13.918,2967.971,0.000,131432,10139,9125,1014
10,0.400000,0.133333,2577.713,333.335,331.817,13.886,3256.751,0.000,138282,10306,9327,979
11,0.440000,0.146667,2192.219,328.786,324.220,13.900,2859.125,0.000,137619,10390,9412,978
12,0.480000,0.160000,2229.015,413.437,336.881,13.883,2993.216,0.000,141130,10418,9459,959
13,0.520000,0.173333,2239.645,344.060,410.343,17.496,3011.544,0.000,141872,10609,9672,937
14,0.560000,0.186667,2440.248,609.146,463.380,14.343,3527.117,0.000,143879,10423,9511,912
15,0.600000,0.200000,2368.565,338.794,361.058,13.903,3082.320,0.000,148950,10604,9666,938
16,0.640000,0.213333,2256.880,353.166,341.901,13.879,2965.826,0.000,155774,10645,9730,915
17,0.680000,0.226667,2220.501,348.953,384.040,14.234,2967.728,0.000,159520,10685,9802,883
18,0.720000,0.240000,2233.112,341.760,391.052,13.891,2979.815,0.000,159716,10726,9820,906
19,0.760000,0.253333,2174.978,354.660,386.322,13.924,2929.884,0.000,174696,10851,9843,1008
20,0.800000,0.266667,2261.491,360.918,410.862,14.034,3047.305,0.000,170863,11101,10048,1053
21,0.840000,0.280000,2250.179,351.746,417.742,14.203,3033.870,0.000,175372,10949,9986,963
22,0.880000,0.293333,2508.542,361.502,430.168,14.641,3314.853,0.000,174085,10904,9919,985
23,0.920000,0.306667,3111.928,443.749,437.005,13.955,4006.637,0.000,184413,11172,10315,857
24,0.960000,0.320000,4137.403,372.452,513.159,17.575,5040.589,0.000,190848,11341,10555,786
25,1.000000,0.333333,5827.699,412.977,482.416,13.946,6737.038,0.000,198893,11421,10673,748
26,1.040000,0.346667,6315.165,374.980,477.399,14.222,7181.766,0.000,201680,11386,10696,690
27,1.080000,0.360000,7081.991,369.696,475.798,13.908,7941.393,0.000,220677,11721,11050,671
28,1.120000,0.373333,8316.919,398.817,584.582,13.877,9314.195,0.000,228982,12402,11737,665
29,1.160000,0.386667,10100.093,374.295,662.840,18.558,11155.786,0.000,245578,12820,12119,701
30,1.200000,0.400000,10884.750,389.066,581.377,13.892,11869.085,0.000,254420,13534,12880,654
31,1.240000,0.413333,11667.737,420.973,580.335,14.262,12683.307,0.000,259178,13917,13330,587
32,1.280000,0.426667,11517.413,403.218,588.872,14.225,12523.728,0.000,270251,14333,13793,540
33,1.320000,0.440000,12879.719,442.667,715.731,14.740,14052.857,0.000,275520,14739,14270,469
34,1.360000,0.453333,12451.821,462.694,607.154,13.897,13535.566,0.000,282613,15009,14548,461
35,1.400000,0.466667,12803.588,390.605,626.424,13.935,13834.552,0.000,277498,14510,13890,620
36,1.440000,0.480000,12495.621,399.707,629.865,13.915,13539.108,0.000,289438,15160,14745,415
37,1.480000,0.493333,11992.386,401.256,663.780,13.976,13071.398,0.000,299090,15231,14791,440
38,1.520000,0.506667,12778.941,403.601,647.441,13.872,13843.855,0.000,297622,15372,14943,429
39,1.560000,0.520000,12762.842,407.568,663.345,13.890,13847.645,0.000,300215,15515,15088,427
40,1.600000,0.533333,12630.548,482.877,752.037,19.103,13884.565,0.000,307339,15666,15243,423
41,1.640000,0.546667,12206.919,403.153,677.519,13.950,13301.541,0.000,308212,15767,15342,425
42,1.680000,0.560000,12867.010,406.104,620.407,13.900,13907.421,0.000,315126,15873,15458,415
43,1.720000,0.573333,12183.354,465.571,741.254,16.897,13407.076,0.000,323653,16146,15772,374
44,1.760000,0.586667,12172.151,398.933,729.980,14.637,13315.701,0.000,322278,16192,15830,362
45,1.800000,0.600000,13336.076,410.728,672.673,14.672,14434.149,0.000,327482,16445,16063,382
46,1.840000,0.613333,12738.045,503.345,770.091,15.878,14027.359,0.000,326067,16436,15908,528
47,1.880000,0.626667,12977.048,457.796,723.020,14.113,14171.977,0.000,325560,16467,15948,519
