mode,variant,build,fps,frame,width,height,phase,direction,interval_us,widget_us,output_us,reset_us,total_us,diff_probe_us,changed_cells,ansi_bytes,write_calls
bench,muster,release,25,0,240,80,0.000000,in,0.000,1642.451,680.257,13.511,2336.219,214.104,19200,194459,112925
bench,muster,release,25,1,240,80,0.013333,in,0.000,1650.418,645.617,13.578,2309.613,275.937,8513,149522,84179
bench,muster,release,25,2,240,80,0.026667,in,0.000,1680.184,641.468,13.577,2335.229,271.216,8549,151044,85160
bench,muster,release,25,3,240,80,0.040000,in,0.000,1704.764,679.451,13.557,2397.772,274.549,8695,160176,90215
bench,muster,release,25,4,240,80,0.053333,in,0.000,1708.314,672.157,14.529,2395.000,295.017,8809,160643,90498
bench,muster,release,25,5,240,80,0.066667,in,0.000,1706.295,694.078,13.811,2414.184,275.893,8878,160414,90520
bench,muster,release,25,6,240,80,0.080000,in,0.000,1763.186,666.765,13.609,2443.560,275.585,8952,165967,93654
bench,muster,release,25,7,240,80,0.093333,in,0.000,1761.183,715.612,13.452,2490.247,283.447,9188,174356,98320
bench,muster,release,25,8,240,80,0.106667,in,0.000,1773.994,665.079,13.582,2452.655,288.588,9195,176929,99984
bench,muster,release,25,9,240,80,0.120000,in,0.000,1770.782,757.119,13.606,2541.507,286.227,9460,177491,100274
bench,muster,release,25,10,240,80,0.133333,in,0.000,1808.921,749.701,14.092,2572.714,294.552,9585,183742,103805
bench,muster,release,25,11,240,80,0.146667,in,0.000,1810.609,745.182,13.849,2569.640,295.758,9632,182595,103296
bench,muster,release,25,12,240,80,0.160000,in,0.000,1846.027,755.884,13.607,2615.518,295.476,9746,192506,108767
bench,muster,release,25,13,240,80,0.173333,in,0.000,1827.991,762.858,13.607,2604.456,298.807,10025,195925,111052
bench,muster,release,25,14,240,80,0.186667,in,0.000,1849.419,795.568,13.616,2658.603,300.863,10156,200436,113363
bench,muster,release,25,15,240,80,0.200000,in,0.000,1894.289,796.511,13.578,2704.378,310.076,10260,202411,114620
bench,muster,release,25,16,240,80,0.213333,in,0.000,1864.992,824.049,13.532,2702.573,309.509,10441,208127,117756
bench,muster,release,25,17,240,80,0.226667,in,0.000,1866.400,816.054,13.833,2696.287,312.482,10505,211078,119543
bench,muster,release,25,18,240,80,0.240000,in,0.000,1874.921,828.253,13.731,2716.905,314.178,10515,217005,122810
bench,muster,release,25,19,240,80,0.253333,in,0.000,1847.698,843.247,13.469,2704.414,323.077,10642,219078,124145
bench,muster,release,25,20,240,80,0.266667,in,0.000,1925.691,841.825,13.872,2781.388,323.770,10610,222931,126116
bench,muster,release,25,21,240,80,0.280000,in,0.000,1918.591,829.761,13.891,2762.243,328.433,10661,223997,126948
bench,muster,release,25,22,240,80,0.293333,in,0.000,1914.894,839.295,13.878,2768.067,330.401,10709,224692,127423
bench,muster,release,25,23,240,80,0.306667,in,0.000,1912.668,830.195,13.542,2756.405,328.113,10573,223042,126390
bench,muster,release,25,24,240,80,0.320000,in,0.000,1942.811,880.884,13.546,2837.241,344.263,10647,227761,129146
bench,muster,release,25,25,240,80,0.333333,in,0.000,1932.415,878.755,13.534,2824.704,338.316,10669,229855,130349
bench,muster,release,25,26,240,80,0.346667,in,0.000,1937.827,892.917,13.614,2844.358,334.337,10603,232090,131541
bench,muster,release,25,27,240,80,0.360000,in,0.000,1951.819,908.449,13.452,2873.720,338.529,10733,236114,133791
bench,muster,release,25,28,240,80,0.373333,in,0.000,1955.513,921.540,13.527,2890.580,347.639,10987,239137,135749
bench,muster,release,25,29,240,80,0.386667,in,0.000,1996.337,908.879,13.571,2918.787,346.382,11049,242870,137844
bench,muster,release,25,30,240,80,0.400000,in,0.000,1979.586,915.232,13.503,2908.321,343.723,10738,240478,136389
bench,muster,release,25,31,240,80,0.413333,in,0.000,1986.791,903.259,13.545,2903.595,345.978,10758,242490,137545
bench,muster,release,25,32,240,80,0.426667,in,0.000,1994.029,918.446,13.495,2925.970,348.969,10767,245352,139141
bench,muster,release,25,33,240,80,0.440000,in,0.000,1979.921,937.870,13.448,2931.239,353.101,10826,248687,141085
bench,muster,release,25,34,240,80,0.453333,in,0.000,1981.740,943.997,13.653,2939.390,352.870,10842,249084,141412
bench,muster,release,25,35,240,80,0.466667,in,0.000,1987.096,930.243,13.597,2930.936,351.282,11041,252418,143475
bench,muster,release,25,36,240,80,0.480000,in,0.000,1984.646,932.972,13.504,2931.122,360.734,10698,253617,144024
bench,muster,release,25,37,240,80,0.493333,in,0.000,1978.061,967.472,13.596,2959.129,356.738,10768,254186,144316
bench,muster,release,25,38,240,80,0.506667,in,0.000,1983.496,939.293,14.016,2936.805,368.495,10777,253743,144066
bench,muster,release,25,39,240,80,0.520000,in,0.000,2865.927,1001.921,16.607,3884.455,379.210,11125,262337,148552
bench,muster,release,25,40,240,80,0.533333,in,0.000,2864.942,1023.236,13.510,3901.688,388.889,11269,275092,155701
bench,muster,release,25,41,240,80,0.546667,in,0.000,2826.749,1000.841,13.631,3841.221,382.734,11354,268948,152567
bench,muster,release,25,42,240,80,0.560000,in,0.000,3658.954,1065.377,13.650,4737.981,392.927,11862,290656,164144
bench,muster,release,25,43,240,80,0.573333,in,0.000,3652.939,1076.018,14.180,4743.137,402.813,12137,295508,167113
bench,muster,release,25,44,240,80,0.586667,in,0.000,3655.435,1134.980,13.576,4803.991,413.131,12757,326898,184140
bench,muster,release,25,45,240,80,0.600000,in,0.000,4486.936,1343.321,13.600,5843.857,420.357,13107,319705,180427
bench,muster,release,25,46,240,80,0.613333,in,0.000,4515.677,1152.836,14.021,5682.534,421.262,12687,313454,176880
bench,muster,release,25,47,240,80,0.626667,in,0.000,5336.212,1113.887,13.530,6463.629,408.717,12999,320513,180240
bench,muster,release,25,48,240,80,0.640000,in,0.000,5379.184,1153.852,13.534,6546.570,408.236,12936,322559,181547
bench,muster,release,25,49,240,80,0.653333,in,0.000,6196.970,1185.560,13.585,7396.115,419.531,13335,342373,192156
bench,muster,release,25,50,240,80,0.666667,in,0.000,6214.860,1218.414,13.665,7446.939,430.516,13526,338687,190243
bench,muster,release,25,51,240,80,0.680000,in,0.000,7027.804,1183.603,14.109,8225.516,424.387,13929,345740,193656
bench,muster,release,25,52,240,80,0.693333,in,0.000,7870.806,1192.852,13.677,9077.335,440.948,14319,357230,199625
bench,muster,release,25,53,240,80,0.706667,in,0.000,7748.755,1210.076,13.758,8972.589,427.731,14689,365464,203917
bench,muster,release,25,54,240,80,0.720000,in,0.000,8710.672,1189.085,13.683,9913.440,406.347,14851,366452,204275
bench,muster,release,25,55,240,80,0.733333,in,0.000,8750.206,1187.284,13.612,9951.102,406.358,14941,359927,200701
bench,muster,release,25,56,240,80,0.746667,in,0.000,9461.435,1193.500,13.702,10668.637,413.170,15242,356851,198193
bench,muster,release,25,57,240,80,0.760000,in,0.000,16123.885,1208.064,16.432,17348.381,414.952,15560,345751,191376
bench,muster,release,25,58,240,80,0.773333,in,0.000,16036.413,1223.069,13.627,17273.109,414.807,15792,345922,191206
bench,muster,release,25,59,240,80,0.786667,in,0.000,17224.834,1200.294,13.548,18438.676,420.286,15923,335937,184436
bench,muster,release,25,60,240,80,0.800000,in,0.000,17210.608,1152.045,14.442,18377.095,413.632,15675,338113,185457
bench,muster,release,25,61,240,80,0.813333,in,0.000,18448.022,1114.877,13.434,19576.333,402.344,15669,324241,176172
bench,muster,release,25,62,240,80,0.826667,in,0.000,18588.859,1049.230,14.646,19652.735,410.234,15443,305102,165122
bench,muster,release,25,63,240,80,0.840000,in,0.000,19667.837,1011.349,13.576,20692.762,398.634,15515,266488,142619
bench,muster,release,25,64,240,80,0.853333,in,0.000,19728.705,953.976,14.071,20696.752,406.673,14808,229533,122450
bench,muster,release,25,65,240,80,0.866667,in,0.000,20907.455,955.312,13.596,21876.363,393.957,14416,235048,125261
bench,muster,release,25,66,240,80,0.880000,in,0.000,20931.283,980.047,13.982,21925.312,424.598,13999,261572,140627
bench,muster,release,25,67,240,80,0.893333,in,0.000,21126.012,994.500,13.601,22134.113,419.731,13208,250926,134992
bench,muster,release,25,68,240,80,0.906667,in,0.000,22377.652,913.123,13.673,23304.448,414.998,12181,224799,120572
bench,muster,release,25,69,240,80,0.920000,in,0.000,22250.816,833.399,13.570,23097.785,399.182,10260,188254,101296
bench,muster,release,25,70,240,80,0.933333,in,0.000,22132.341,760.477,14.166,22906.984,397.066,8610,153948,82925
bench,muster,release,25,71,240,80,0.946667,in,0.000,23144.461,674.794,13.582,23832.837,350.514,6799,138339,75160
bench,muster,release,25,72,240,80,0.960000,in,0.000,23122.561,626.720,14.027,23763.308,341.141,6971,124200,66709
bench,muster,release,25,73,240,80,0.973333,in,0.000,22958.406,503.638,13.577,23475.621,313.107,4871,77155,40919
bench,muster,release,25,74,240,80,0.986667,in,0.000,22614.640,412.128,13.654,23040.422,294.084,2988,47257,25037
bench,muster,release,25,75,240,80,1.000000,out,0.000,20907.239,430.622,13.426,21351.287,289.586,2939,54444,29290
bench,muster,release,25,76,240,80,0.986667,out,0.000,22782.295,428.340,13.777,23224.412,296.139,3338,51843,27534
bench,muster,release,25,77,240,80,0.973333,out,0.000,22939.211,431.599,13.618,23384.428,295.950,3040,48722,25863
bench,muster,release,25,78,240,80,0.960000,out,0.000,22929.333,540.730,13.901,23483.964,323.063,6631,92901,48626
bench,muster,release,25,79,240,80,0.946667,out,0.000,23339.714,621.741,13.614,23975.069,340.751,6774,120276,64310
bench,muster,release,25,80,240,80,0.933333,out,0.000,22016.275,728.312,13.663,22758.250,354.108,7554,152039,82249
bench,muster,release,25,81,240,80,0.920000,out,0.000,22143.153,813.462,13.463,22970.078,385.447,9174,183894,99530
bench,muster,release,25,82,240,80,0.906667,out,0.000,22197.835,857.052,13.643,23068.530,398.030,10460,203346,109574
bench,muster,release,25,83,240,80,0.893333,out,0.000,21026.448,978.012,13.604,22018.064,413.590,12709,251165,135727
bench,muster,release,25,84,240,80,0.880000,out,0.000,20889.868,975.138,13.614,21878.620,420.537,13388,244304,131291
bench,muster,release,25,85,240,80,0.866667,out,0.000,20893.723,955.837,13.602,21863.162,401.814,13845,231619,123814
bench,muster,release,25,86,240,80,0.853333,out,0.000,19710.876,996.111,13.632,20720.619,400.964,14611,249279,133977
bench,muster,release,25,87,240,80,0.840000,out,0.000,19655.906,1041.921,13.560,20711.387,427.252,14761,282774,152707
bench,muster,release,25,88,240,80,0.826667,out,0.000,18640.043,1129.275,13.669,19782.987,399.657,15535,318820,173181
bench,muster,release,25,89,240,80,0.813333,out,0.000,18492.978,1118.122,13.430,19624.530,396.580,15517,323249,176076
bench,muster,release,25,90,240,80,0.800000,out,0.000,17179.482,1146.663,13.642,18339.787,396.805,15762,338842,186286
bench,muster,release,25,91,240,80,0.786667,out,0.000,17134.518,1187.566,13.478,18335.562,404.812,15775,338782,186616
bench,muster,release,25,92,240,80,0.773333,out,0.000,16014.071,1196.667,13.610,17224.348,417.180,15896,352025,194990
bench,muster,release,25,93,240,80,0.760000,out,0.000,16008.151,1203.722,13.593,17225.466,418.193,15749,349225,193458
bench,muster,release,25,94,240,80,0.746667,out,0.000,9677.381,1251.565,13.968,10942.914,417.720,15624,360720,200599
bench,muster,release,25,95,240,80,0.733333,out,0.000,8672.552,1245.842,13.619,9932.013,410.022,15233,365451,203888
bench,muster,release,25,96,240,80,0.720000,out,0.000,8677.663,1272.316,13.545,9963.524,405.424,14958,366589,204476
bench,muster,release,25,97,240,80,0.706667,out,0.000,7806.902,1215.522,13.543,9035.967,410.292,14816,369804,206485
bench,muster,release,25,98,240,80,0.693333,out,0.000,7868.902,1211.078,13.652,9093.632,409.415,14605,360392,201578
bench,muster,release,25,99,240,80,0.680000,out,0.000,7082.772,1244.891,13.560,8341.223,418.292,14316,351552,197196
bench,muster,release,25,100,240,80,0.666667,out,0.000,6318.064,1173.325,13.562,7504.951,423.875,13909,339796,191031
bench,muster,release,25,101,240,80,0.653333,out,0.000,6240.848,1210.492,13.441,7464.781,427.304,13478,342745,192445
bench,muster,release,25,102,240,80,0.640000,out,0.000,5371.398,1111.490,13.594,6496.482,417.292,13375,326929,184253
bench,muster,release,25,103,240,80,0.626667,out,0.000,5356.764,1116.671,13.569,6487.004,418.958,12939,322615,181581
bench,muster,release,25,104,240,80,0.613333,out,0.000,4542.182,1149.886,13.624,5705.692,405.985,12950,317712,179490
bench,muster,release,25,105,240,80,0.600000,out,0.000,4525.322,1072.987,13.666,5611.975,407.713,12595,311338,175618
bench,muster,release,25,106,240,80,0.586667,out,0.000,3654.234,1172.146,13.645,4840.025,411.441,13060,325547,183729
bench,muster,release,25,107,240,80,0.573333,out,0.000,3675.208,1113.419,13.675,4802.302,406.017,12640,303237,171675
bench,muster,release,25,108,240,80,0.560000,out,0.000,3696.187,1081.506,13.694,4791.387,404.415,12156,293861,166249
bench,muster,release,25,109,240,80,0.546667,out,0.000,2843.705,1010.729,13.561,3867.995,396.150,11884,273635,155421
bench,muster,release,25,110,240,80,0.533333,out,0.000,2858.860,983.323,14.071,3856.254,392.473,11406,275351,155918
bench,muster,release,25,111,240,80,0.520000,out,0.000,2843.965,1018.294,13.625,3875.884,387.172,11324,268202,152045
bench,muster,release,25,112,240,80,0.506667,out,0.000,2017.832,937.476,13.662,2968.970,376.040,11196,259199,147353
bench,muster,release,25,113,240,80,0.493333,out,0.000,2007.645,959.294,13.786,2980.725,361.983,10874,257452,146209
bench,muster,release,25,114,240,80,0.480000,out,0.000,2009.569,953.113,13.649,2976.331,360.400,10784,253613,143969
bench,muster,release,25,115,240,80,0.466667,out,0.000,2004.804,936.838,13.558,2955.200,358.923,10744,249743,141800
bench,muster,release,25,116,240,80,0.453333,out,0.000,2010.036,951.671,13.653,2975.360,352.531,11246,255656,145331
bench,muster,release,25,117,240,80,0.440000,out,0.000,2003.861,905.429,13.567,2922.857,351.063,10742,248048,140789
bench,muster,release,25,118,240,80,0.426667,out,0.000,1997.251,911.911,13.654,2922.816,354.287,10713,244880,138965
bench,muster,release,25,119,240,80,0.413333,out,0.000,2007.921,922.705,13.552,2944.178,349.490,10734,243182,138004
bench,muster,release,25,120,240,80,0.400000,out,0.000,1991.934,899.645,13.651,2905.230,343.285,10619,238948,135532
bench,muster,release,25,121,240,80,0.386667,out,0.000,2005.394,894.323,13.537,2913.254,341.701,10574,236144,133860
bench,muster,release,25,122,240,80,0.373333,out,0.000,1959.764,860.397,13.660,2833.821,332.827,10808,231702,131655
bench,muster,release,25,123,240,80,0.360000,out,0.000,1964.577,812.611,13.592,2790.780,352.626,10623,230138,130654
bench,muster,release,25,124,240,80,0.346667,out,0.000,1977.501,879.115,14.016,2870.632,338.650,10531,227815,129201
bench,muster,release,25,125,240,80,0.333333,out,0.000,1960.250,843.804,13.564,2817.618,326.896,10364,223770,126872
bench,muster,release,25,126,240,80,0.320000,out,0.000,1955.714,870.105,13.527,2839.346,328.684,10479,223908,127027
bench,muster,release,25,127,240,80,0.306667,out,0.000,1936.448,844.369,13.768,2794.585,326.898,10369,218771,124064
bench,muster,release,25,128,240,80,0.293333,out,0.000,1939.868,844.347,13.622,2797.837,319.949,10342,217260,123275
bench,muster,release,25,129,240,80,0.280000,out,0.000,1934.203,826.619,13.573,2774.395,318.244,10264,216120,122511
bench,muster,release,25,130,240,80,0.266667,out,0.000,1922.213,835.388,13.617,2771.218,321.758,10319,214922,121798
bench,muster,release,25,131,240,80,0.253333,out,0.000,1872.578,780.988,13.616,2667.182,306.214,10110,200382,113543
bench,muster,release,25,132,240,80,0.240000,out,0.000,1900.681,805.528,13.675,2719.884,308.822,10194,209889,118688
bench,muster,release,25,133,240,80,0.226667,out,0.000,1884.791,825.477,13.566,2723.834,313.460,10324,208269,117959
bench,muster,release,25,134,240,80,0.213333,out,0.000,1892.010,800.313,14.059,2706.382,315.585,10272,203466,115166
bench,muster,release,25,135,240,80,0.200000,out,0.000,1881.623,787.252,13.593,2682.468,305.288,10164,199193,112834
bench,muster,release,25,136,240,80,0.186667,out,0.000,1878.371,785.157,13.974,2677.502,307.614,10060,198931,112556
bench,muster,release,25,137,240,80,0.173333,out,0.000,1859.867,796.911,14.022,2670.800,305.300,10125,198507,112468
bench,muster,release,25,138,240,80,0.160000,out,0.000,1848.195,775.776,13.651,2637.622,302.585,9983,194969,110219
bench,muster,release,25,139,240,80,0.146667,out,0.000,1829.544,746.669,13.533,2589.746,295.156,9903,187424,106059
bench,muster,release,25,140,240,80,0.133333,out,0.000,1816.535,773.091,13.613,2603.239,293.362,9797,185466,104784
bench,muster,release,25,141,240,80,0.120000,out,0.000,1802.638,717.517,13.530,2533.685,289.526,9593,178995,101161
bench,muster,release,25,142,240,80,0.106667,out,0.000,1791.572,724.117,13.571,2529.260,285.806,9419,175819,99269
bench,muster,release,25,143,240,80,0.093333,out,0.000,1796.459,696.377,13.557,2506.393,286.772,9331,173216,97779
bench,muster,release,25,144,240,80,0.080000,out,0.000,1773.784,716.062,13.486,2503.332,287.647,9239,172930,97550
