mode,variant,build,fps,frame,width,height,phase,direction,interval_us,widget_us,output_us,reset_us,total_us,diff_probe_us,changed_cells,ansi_bytes,write_calls
bench,platoon,release,25,0,240,80,0.000000,in,0.000,1687.554,721.481,14.250,2423.285,216.000,19200,194459,112925
bench,platoon,release,25,1,240,80,0.013333,in,0.000,1778.749,662.516,16.064,2457.329,290.010,8513,149522,84179
bench,platoon,release,25,2,240,80,0.026667,in,0.000,1890.718,749.315,16.456,2656.489,325.562,8549,151044,85160
bench,platoon,release,25,3,240,80,0.040000,in,0.000,1778.606,656.252,13.556,2448.414,273.178,8695,160176,90215
bench,platoon,release,25,4,240,80,0.053333,in,0.000,1707.864,648.948,13.522,2370.334,276.101,8809,160643,90498
bench,platoon,release,25,5,240,80,0.066667,in,0.000,1740.103,661.620,13.502,2415.225,277.198,8878,160414,90520
bench,platoon,release,25,6,240,80,0.080000,in,0.000,1732.446,666.084,14.339,2412.869,276.684,8952,165967,93654
bench,platoon,release,25,7,240,80,0.093333,in,0.000,1756.033,746.225,13.832,2516.090,289.663,9188,174356,98320
bench,platoon,release,25,8,240,80,0.106667,in,0.000,1921.408,789.270,15.043,2725.721,326.357,9195,176929,99984
bench,platoon,release,25,9,240,80,0.120000,in,0.000,2308.658,722.488,13.501,3044.647,290.142,9460,177491,100274
bench,platoon,release,25,10,240,80,0.133333,in,0.000,1801.338,731.745,13.661,2546.744,289.285,9585,183742,103805
bench,platoon,release,25,11,240,80,0.146667,in,0.000,1803.319,736.039,13.499,2552.857,291.787,9632,182595,103296
bench,platoon,release,25,12,240,80,0.160000,in,0.000,1844.771,733.921,13.525,2592.217,294.633,9746,192506,108767
bench,platoon,release,25,13,240,80,0.173333,in,0.000,1835.913,751.952,13.497,2601.362,296.469,10025,195925,111052
bench,platoon,release,25,14,240,80,0.186667,in,0.000,1842.636,775.433,13.497,2631.566,300.173,10156,200436,113363
bench,platoon,release,25,15,240,80,0.200000,in,0.000,1868.109,729.143,13.406,2610.658,307.446,10260,202411,114620
bench,platoon,release,25,16,240,80,0.213333,in,0.000,1944.111,815.763,14.231,2774.105,335.537,10441,208127,117756
bench,platoon,release,25,17,240,80,0.226667,in,0.000,2490.186,972.071,15.432,3477.689,364.588,10505,211078,119543
bench,platoon,release,25,18,240,80,0.240000,in,0.000,1897.408,758.423,13.409,2669.240,317.883,10515,217005,122810
bench,platoon,release,25,19,240,80,0.253333,in,0.000,1849.516,829.909,13.965,2693.390,319.445,10642,219078,124145
bench,platoon,release,25,20,240,80,0.266667,in,0.000,1984.982,843.790,13.407,2842.179,321.223,10610,222931,126116
bench,platoon,release,25,21,240,80,0.280000,in,0.000,1922.804,848.056,14.085,2784.945,345.340,10661,223997,126948
bench,platoon,release,25,22,240,80,0.293333,in,0.000,2073.662,1105.818,16.398,3195.878,399.403,10709,224692,127423
bench,platoon,release,25,23,240,80,0.306667,in,0.000,2059.612,828.240,13.404,2901.256,329.243,10573,223042,126390
bench,platoon,release,25,24,240,80,0.320000,in,0.000,1936.251,834.400,13.548,2784.199,333.107,10647,227761,129146
bench,platoon,release,25,25,240,80,0.333333,in,0.000,1966.900,856.028,13.822,2836.750,335.366,10669,229855,130349
bench,platoon,release,25,26,240,80,0.346667,in,0.000,1947.204,913.109,13.560,2873.873,334.140,10603,232090,131541
bench,platoon,release,25,27,240,80,0.360000,in,0.000,2104.634,1313.060,13.536,3431.230,413.023,10733,236114,133791
bench,platoon,release,25,28,240,80,0.373333,in,0.000,2028.577,909.421,13.551,2951.549,346.091,10987,239137,135749
bench,platoon,release,25,29,240,80,0.386667,in,0.000,2075.066,1004.200,13.850,3093.116,395.038,11049,242870,137844
bench,platoon,release,25,30,240,80,0.400000,in,0.000,2103.809,945.162,14.268,3063.239,367.255,10738,240478,136389
bench,platoon,release,25,31,240,80,0.413333,in,0.000,1989.878,912.701,13.515,2916.094,350.199,10758,242490,137545
bench,platoon,release,25,32,240,80,0.426667,in,0.000,1978.458,923.962,13.515,2915.935,349.297,10767,245352,139141
bench,platoon,release,25,33,240,80,0.440000,in,0.000,2046.356,888.908,13.518,2948.782,348.900,10826,248687,141085
bench,platoon,release,25,34,240,80,0.453333,in,0.000,2028.712,989.256,15.052,3033.020,379.316,10842,249084,141412
bench,platoon,release,25,35,240,80,0.466667,in,0.000,2245.396,941.251,13.481,3200.128,348.178,11041,252418,143475
bench,platoon,release,25,36,240,80,0.480000,in,0.000,1982.443,927.201,21.906,2931.550,461.321,10698,253617,144024
bench,platoon,release,25,37,240,80,0.493333,in,0.000,2158.486,943.172,14.276,3115.934,352.747,10768,254186,144316
bench,platoon,release,25,38,240,80,0.506667,in,0.000,1994.145,935.758,17.908,2947.811,453.654,10777,253743,144066
bench,platoon,release,25,39,240,80,0.520000,in,0.000,3043.421,1416.800,13.951,4474.172,436.083,11125,262337,148552
bench,platoon,release,25,40,240,80,0.533333,in,0.000,3025.379,996.476,13.440,4035.295,398.845,11269,275092,155701
bench,platoon,release,25,41,240,80,0.546667,in,0.000,3067.357,1237.289,15.914,4320.560,415.842,11354,268948,152567
bench,platoon,release,25,42,240,80,0.560000,in,0.000,3716.454,995.430,13.456,4725.340,392.315,11862,290656,164144
bench,platoon,release,25,43,240,80,0.573333,in,0.000,3659.106,1034.898,16.385,4710.389,434.580,12137,295508,167113
bench,platoon,release,25,44,240,80,0.586667,in,0.000,3947.196,1595.446,14.204,5556.846,462.478,12757,326898,184140
bench,platoon,release,25,45,240,80,0.600000,in,0.000,4495.805,1128.150,13.422,5637.377,413.690,13107,319705,180427
bench,platoon,release,25,46,240,80,0.613333,in,0.000,4541.295,1098.101,15.088,5654.484,441.178,12687,313454,176880
bench,platoon,release,25,47,240,80,0.626667,in,0.000,6350.361,1061.869,13.525,7425.755,408.204,12999,320513,180240
bench,platoon,release,25,48,240,80,0.640000,in,0.000,5368.823,1125.608,13.444,6507.875,407.037,12936,322559,181547
bench,platoon,release,25,49,240,80,0.653333,in,0.000,6218.786,1158.754,13.814,7391.354,420.294,13335,342373,192156
