mode,variant,build,fps,frame,width,height,phase,direction,interval_us,widget_us,output_us,reset_us,total_us,diff_probe_us,changed_cells,ansi_bytes,write_calls
bench,platoon,release,25,0,120,40,0.000000,in,0.000,426.156,179.760,3.501,609.417,54.874,4800,51450,29735
bench,platoon,release,25,1,120,40,0.013333,in,0.000,437.944,179.287,3.737,620.968,79.080,1772,37012,20857
bench,platoon,release,25,2,120,40,0.026667,in,0.000,814.713,184.266,3.560,1002.539,73.102,1826,37553,21213
bench,platoon,release,25,3,120,40,0.040000,in,0.000,429.200,163.292,3.469,595.961,70.323,1797,38060,21558
bench,platoon,release,25,4,120,40,0.053333,in,0.000,419.450,172.786,3.401,595.637,70.906,1852,39706,22468
bench,platoon,release,25,5,120,40,0.066667,in,0.000,415.275,166.239,3.400,584.914,71.378,1847,39302,22257
bench,platoon,release,25,6,120,40,0.080000,in,0.000,428.240,174.088,3.478,605.806,72.692,1877,40971,23194
bench,platoon,release,25,7,120,40,0.093333,in,0.000,426.463,178.977,3.388,608.828,72.449,1928,41481,23520
bench,platoon,release,25,8,120,40,0.106667,in,0.000,433.674,174.621,3.358,611.653,71.117,1889,41911,23741
bench,platoon,release,25,9,120,40,0.120000,in,0.000,433.663,174.851,3.496,612.010,73.632,1940,41106,23342
bench,platoon,release,25,10,120,40,0.133333,in,0.000,439.293,170.955,3.482,613.730,74.980,1944,43699,24775
bench,platoon,release,25,11,120,40,0.146667,in,0.000,451.208,176.689,3.388,631.285,74.361,1984,43564,24708
bench,platoon,release,25,12,120,40,0.160000,in,0.000,495.731,202.984,3.497,702.212,76.531,2036,45575,25905
bench,platoon,release,25,13,120,40,0.173333,in,0.000,451.985,185.771,3.383,641.139,74.300,2080,44904,25612
bench,platoon,release,25,14,120,40,0.186667,in,0.000,457.433,200.039,3.395,660.867,76.095,2091,45644,25962
bench,platoon,release,25,15,120,40,0.200000,in,0.000,454.537,191.364,3.470,649.371,77.616,2113,47026,26709
bench,platoon,release,25,16,120,40,0.213333,in,0.000,464.976,195.277,3.482,663.735,78.999,2167,48124,27372
bench,platoon,release,25,17,120,40,0.226667,in,0.000,463.861,197.611,3.365,664.837,78.342,2160,48625,27696
bench,platoon,release,25,18,120,40,0.240000,in,0.000,480.734,206.744,3.680,691.158,83.545,2161,49055,27962
bench,platoon,release,25,19,120,40,0.253333,in,0.000,470.083,197.547,3.571,671.201,82.016,2239,51022,29051
bench,platoon,release,25,20,120,40,0.266667,in,0.000,520.553,220.314,3.986,744.853,91.059,2225,50144,28553
bench,platoon,release,25,21,120,40,0.280000,in,0.000,524.352,205.624,3.483,733.459,81.396,2213,49919,28473
bench,platoon,release,25,22,120,40,0.293333,in,0.000,481.622,220.981,3.769,706.372,83.861,2288,52564,29965
bench,platoon,release,25,23,120,40,0.306667,in,0.000,526.089,281.595,4.387,812.071,102.008,2328,53240,30408
bench,platoon,release,25,24,120,40,0.320000,in,0.000,590.614,224.269,3.865,818.748,94.266,2353,53053,30336
bench,platoon,release,25,25,120,40,0.333333,in,0.000,538.865,232.560,4.129,775.554,95.941,2366,54491,31137
bench,platoon,release,25,26,120,40,0.346667,in,0.000,553.003,213.393,3.398,769.794,81.944,2385,54704,31235
bench,platoon,release,25,27,120,40,0.360000,in,0.000,494.364,224.844,3.384,722.592,85.137,2431,56610,32318
bench,platoon,release,25,28,120,40,0.373333,in,0.000,498.936,237.016,3.396,739.348,88.036,2554,60807,34778
bench,platoon,release,25,29,120,40,0.386667,in,0.000,497.529,226.919,3.407,727.855,87.621,2608,58718,33703
bench,platoon,release,25,30,120,40,0.400000,in,0.000,490.185,220.302,3.389,713.876,85.140,2525,59168,33788
bench,platoon,release,25,31,120,40,0.413333,in,0.000,491.000,232.795,3.412,727.207,92.241,2552,58515,33517
bench,platoon,release,25,32,120,40,0.426667,in,0.000,491.004,236.057,3.355,730.416,87.062,2624,60876,34809
bench,platoon,release,25,33,120,40,0.440000,in,0.000,494.185,239.548,3.360,737.093,90.243,2606,61148,34999
bench,platoon,release,25,34,120,40,0.453333,in,0.000,494.454,233.826,3.366,731.646,88.125,2634,61012,34946
bench,platoon,release,25,35,120,40,0.466667,in,0.000,505.985,252.402,3.486,761.873,91.253,2734,64646,37022
bench,platoon,release,25,36,120,40,0.480000,in,0.000,494.756,242.764,3.379,740.899,92.229,2623,61813,35421
bench,platoon,release,25,37,120,40,0.493333,in,0.000,494.085,243.470,3.589,741.144,99.043,2682,64330,36862
bench,platoon,release,25,38,120,40,0.506667,in,0.000,580.725,247.154,3.382,831.261,92.634,2659,62635,35936
bench,platoon,release,25,39,120,40,0.520000,in,0.000,721.922,259.429,3.776,985.127,104.252,2720,63381,36276
bench,platoon,release,25,40,120,40,0.533333,in,0.000,722.976,275.083,3.568,1001.627,102.002,2767,68701,39220
bench,platoon,release,25,41,120,40,0.546667,in,0.000,766.093,697.189,4.245,1467.527,125.350,2839,69693,39811
bench,platoon,release,25,42,120,40,0.560000,in,0.000,1130.203,316.949,3.401,1450.553,102.351,2913,71530,40788
bench,platoon,release,25,43,120,40,0.573333,in,0.000,914.789,252.253,3.390,1170.432,97.386,2856,67174,38542
bench,platoon,release,25,44,120,40,0.586667,in,0.000,915.005,305.466,3.565,1224.036,105.249,3109,85317,48132
bench,platoon,release,25,45,120,40,0.600000,in,0.000,1310.513,313.654,3.463,1627.630,109.905,3282,78684,44801
bench,platoon,release,25,46,120,40,0.613333,in,0.000,1195.285,318.149,3.785,1517.219,124.653,3160,77334,43944
bench,platoon,release,25,47,120,40,0.626667,in,0.000,1807.844,321.691,3.744,2133.279,127.730,3257,79258,44926
bench,platoon,release,25,48,120,40,0.640000,in,0.000,1364.300,290.333,3.413,1658.046,107.216,3228,80902,45900
bench,platoon,release,25,49,120,40,0.653333,in,0.000,1553.156,307.164,3.387,1863.707,105.765,3359,85982,48556
bench,platoon,release,25,50,120,40,0.666667,in,0.000,1557.794,345.535,3.406,1906.735,108.245,3360,84869,47992
bench,platoon,release,25,51,120,40,0.680000,in,0.000,1790.284,349.424,3.484,2143.192,109.341,3432,85323,48139
bench,platoon,release,25,52,120,40,0.693333,in,0.000,1975.718,309.920,3.386,2289.024,105.737,3495,88708,49857
bench,platoon,release,25,53,120,40,0.706667,in,0.000,2181.513,415.401,3.877,2600.791,120.907,3624,90921,51035
bench,platoon,release,25,54,120,40,0.720000,in,0.000,2374.234,410.433,4.255,2788.922,131.090,3632,89823,50344
bench,platoon,release,25,55,120,40,0.733333,in,0.000,2517.446,314.794,3.365,2835.605,102.115,3696,90255,50638
bench,platoon,release,25,56,120,40,0.746667,in,0.000,2379.164,303.777,3.381,2686.322,103.115,3762,86993,48538
bench,platoon,release,25,57,120,40,0.760000,in,0.000,3887.405,313.288,3.399,4204.092,103.691,3872,86077,47908
bench,platoon,release,25,58,120,40,0.773333,in,0.000,4014.572,310.569,3.415,4328.556,106.085,3891,84450,46913
bench,platoon,release,25,59,120,40,0.786667,in,0.000,4746.057,334.843,3.770,5084.670,115.999,3992,83152,45831
bench,platoon,release,25,60,120,40,0.800000,in,0.000,4150.194,303.894,3.485,4457.573,105.042,3944,84492,46611
bench,platoon,release,25,61,120,40,0.813333,in,0.000,4483.212,298.175,3.372,4784.759,102.065,3921,81973,44876
bench,platoon,release,25,62,120,40,0.826667,in,0.000,4474.319,281.327,3.392,4759.038,99.977,3807,75024,41054
bench,platoon,release,25,63,120,40,0.840000,in,0.000,4858.104,273.702,3.563,5135.369,104.469,3826,68099,36869
bench,platoon,release,25,64,120,40,0.853333,in,0.000,5610.125,265.318,3.384,5878.827,105.496,3608,68072,37026
bench,platoon,release,25,65,120,40,0.866667,in,0.000,5038.827,262.006,3.397,5304.230,117.200,3731,68424,37020
bench,platoon,release,25,66,120,40,0.880000,in,0.000,5332.469,248.861,3.412,5584.742,101.284,3406,60904,32980
bench,platoon,release,25,67,120,40,0.893333,in,0.000,5651.569,238.088,3.397,5893.054,103.906,3024,57283,31302
bench,platoon,release,25,68,120,40,0.906667,in,0.000,5378.931,237.474,3.400,5619.805,101.766,3024,56223,30569
bench,platoon,release,25,69,120,40,0.920000,in,0.000,5881.866,276.292,3.790,6161.948,115.883,2655,49006,26832
bench,platoon,release,25,70,120,40,0.933333,in,0.000,5723.834,198.992,3.389,5926.215,100.138,2349,39941,21858
bench,platoon,release,25,71,120,40,0.946667,in,0.000,6021.517,181.776,3.387,6206.680,90.954,1853,35207,19461
bench,platoon,release,25,72,120,40,0.960000,in,0.000,5654.801,141.726,3.497,5800.024,88.179,1080,21137,11856
bench,platoon,release,25,73,120,40,0.973333,in,0.000,6235.908,158.300,3.558,6397.766,81.009,744,16232,9095
bench,platoon,release,25,74,120,40,0.986667,in,0.000,5643.460,95.750,3.403,5742.613,74.378,519,7973,4457
