mode,variant,build,fps,frame,width,height,phase,direction,interval_us,widget_us,output_us,reset_us,total_us,diff_probe_us,changed_cells,ansi_bytes,write_calls
bench,muster,release,25,0,120,40,0.000000,in,0.000,417.728,190.345,3.482,611.555,57.784,4800,51450,29735
bench,muster,release,25,1,120,40,0.013333,in,0.000,406.219,171.110,3.397,580.726,71.327,1772,37012,20857
bench,muster,release,25,2,120,40,0.026667,in,0.000,415.777,153.115,3.400,572.292,70.300,1826,37553,21213
bench,muster,release,25,3,120,40,0.040000,in,0.000,413.358,153.797,3.403,570.558,69.804,1797,38060,21558
bench,muster,release,25,4,120,40,0.053333,in,0.000,422.489,171.137,3.407,597.033,69.614,1852,39706,22468
bench,muster,release,25,5,120,40,0.066667,in,0.000,423.474,177.600,3.388,604.462,71.486,1847,39302,22257
bench,muster,release,25,6,120,40,0.080000,in,0.000,428.282,180.551,3.410,612.243,75.213,1877,40971,23194
bench,muster,release,25,7,120,40,0.093333,in,0.000,426.676,175.402,3.384,605.462,71.632,1928,41481,23520
bench,muster,release,25,8,120,40,0.106667,in,0.000,439.985,189.070,3.492,632.547,75.135,1889,41911,23741
bench,muster,release,25,9,120,40,0.120000,in,0.000,444.842,182.524,3.652,631.018,78.738,1940,41106,23342
bench,muster,release,25,10,120,40,0.133333,in,0.000,452.518,181.736,3.380,637.634,73.287,1944,43699,24775
bench,muster,release,25,11,120,40,0.146667,in,0.000,452.884,186.142,3.462,642.488,76.134,1984,43564,24708
bench,muster,release,25,12,120,40,0.160000,in,0.000,469.711,192.957,3.444,666.112,76.322,2036,45575,25905
bench,muster,release,25,13,120,40,0.173333,in,0.000,451.482,188.871,6.030,646.383,76.178,2080,44904,25612
bench,muster,release,25,14,120,40,0.186667,in,0.000,470.475,195.512,3.481,669.468,75.800,2091,45644,25962
bench,muster,release,25,15,120,40,0.200000,in,0.000,467.777,219.726,3.721,691.224,86.016,2113,47026,26709
bench,muster,release,25,16,120,40,0.213333,in,0.000,468.908,203.036,3.684,675.628,80.328,2167,48124,27372
bench,muster,release,25,17,120,40,0.226667,in,0.000,473.577,201.621,3.382,678.580,80.036,2160,48625,27696
bench,muster,release,25,18,120,40,0.240000,in,0.000,469.866,201.569,3.364,674.799,76.812,2161,49055,27962
bench,muster,release,25,19,120,40,0.253333,in,0.000,467.274,200.317,3.481,671.072,79.488,2239,51022,29051
bench,muster,release,25,20,120,40,0.266667,in,0.000,475.521,202.842,3.426,681.789,80.184,2225,50144,28553
bench,muster,release,25,21,120,40,0.280000,in,0.000,470.888,200.296,3.416,674.600,81.315,2213,49919,28473
bench,muster,release,25,22,120,40,0.293333,in,0.000,477.922,208.716,3.386,690.024,82.593,2288,52564,29965
bench,muster,release,25,23,120,40,0.306667,in,0.000,483.036,215.887,3.391,702.314,83.924,2328,53240,30408
bench,muster,release,25,24,120,40,0.320000,in,0.000,488.707,213.538,3.490,705.735,83.917,2353,53053,30336
bench,muster,release,25,25,120,40,0.333333,in,0.000,483.491,222.257,3.676,709.424,90.020,2366,54491,31137
bench,muster,release,25,26,120,40,0.346667,in,0.000,509.741,216.996,3.411,730.148,84.853,2385,54704,31235
bench,muster,release,25,27,120,40,0.360000,in,0.000,489.275,224.103,3.432,716.810,83.808,2431,56610,32318
bench,muster,release,25,28,120,40,0.373333,in,0.000,493.372,234.665,3.482,731.519,88.043,2554,60807,34778
bench,muster,release,25,29,120,40,0.386667,in,0.000,496.919,225.673,3.380,725.972,84.834,2608,58718,33703
bench,muster,release,25,30,120,40,0.400000,in,0.000,510.309,252.021,3.558,765.888,94.622,2525,59168,33788
bench,muster,release,25,31,120,40,0.413333,in,0.000,503.554,240.533,3.567,747.654,91.832,2552,58515,33517
bench,muster,release,25,32,120,40,0.426667,in,0.000,517.857,237.554,3.432,758.843,91.861,2624,60876,34809
bench,muster,release,25,33,120,40,0.440000,in,0.000,512.126,243.415,3.418,758.959,93.506,2606,61148,34999
bench,muster,release,25,34,120,40,0.453333,in,0.000,517.127,239.814,3.412,760.353,89.425,2634,61012,34946
bench,muster,release,25,35,120,40,0.466667,in,0.000,495.403,234.028,3.410,732.841,87.718,2734,64646,37022
bench,muster,release,25,36,120,40,0.480000,in,0.000,494.831,231.163,3.447,729.441,89.783,2623,61813,35421
bench,muster,release,25,37,120,40,0.493333,in,0.000,493.805,243.427,3.410,740.642,93.578,2682,64330,36862
bench,muster,release,25,38,120,40,0.506667,in,0.000,497.250,236.319,3.366,736.935,94.350,2659,62635,35936
bench,muster,release,25,39,120,40,0.520000,in,0.000,699.690,251.443,3.409,954.542,97.656,2720,63381,36276
bench,muster,release,25,40,120,40,0.533333,in,0.000,707.691,261.320,3.390,972.401,96.864,2767,68701,39220
bench,muster,release,25,41,120,40,0.546667,in,0.000,707.801,270.733,3.372,981.906,99.647,2839,69693,39811
bench,muster,release,25,42,120,40,0.560000,in,0.000,918.396,273.542,3.581,1195.519,107.758,2913,71530,40788
bench,muster,release,25,43,120,40,0.573333,in,0.000,931.428,248.161,3.379,1182.968,97.087,2856,67174,38542
bench,muster,release,25,44,120,40,0.586667,in,0.000,909.379,302.064,4.128,1215.571,120.520,3109,85317,48132
bench,muster,release,25,45,120,40,0.600000,in,0.000,1249.038,297.498,3.368,1549.904,107.735,3282,78684,44801
bench,muster,release,25,46,120,40,0.613333,in,0.000,1322.326,399.609,4.609,1726.544,140.347,3160,77334,43944
bench,muster,release,25,47,120,40,0.626667,in,0.000,1660.500,409.656,3.551,2073.707,128.984,3257,79258,44926
bench,muster,release,25,48,120,40,0.640000,in,0.000,1650.453,299.858,3.485,1953.796,105.526,3228,80902,45900
bench,muster,release,25,49,120,40,0.653333,in,0.000,1549.072,303.815,3.398,1856.285,106.124,3359,85982,48556
bench,muster,release,25,50,120,40,0.666667,in,0.000,1722.722,344.246,3.550,2070.518,117.202,3360,84869,47992
bench,muster,release,25,51,120,40,0.680000,in,0.000,1850.898,321.914,4.083,2176.895,136.004,3432,85323,48139
bench,muster,release,25,52,120,40,0.693333,in,0.000,2021.781,318.616,3.379,2343.776,107.349,3495,88708,49857
bench,muster,release,25,53,120,40,0.706667,in,0.000,2160.871,421.162,4.003,2586.036,121.791,3624,90921,51035
bench,muster,release,25,54,120,40,0.720000,in,0.000,2523.187,383.755,4.418,2911.360,314.637,3632,89823,50344
bench,muster,release,25,55,120,40,0.733333,in,0.000,2664.075,318.742,3.439,2986.256,104.925,3696,90255,50638
bench,muster,release,25,56,120,40,0.746667,in,0.000,2376.591,310.312,4.231,2691.134,104.809,3762,86993,48538
