frame,elapsed_s,zoom,render_us,diff_us,encode_us,reset_us,total_us,interval_us,bytes,changed_cells,glyph_changes,color_only_changes
0,0.000000,0.000000,539.131,54.100,0.092,3.574,596.897,0.000,19,0,0,0
1,0.040000,0.013333,570.132,81.891,70.345,3.617,725.985,0.000,26508,1794,1490,304
2,0.080000,0.026667,549.999,78.965,66.770,3.497,699.231,0.000,25611,1794,1472,322
3,0.120000,0.040000,544.648,80.206,69.572,3.606,698.032,0.000,26225,1880,1548,332
4,0.160000,0.053333,555.155,77.865,70.796,3.609,707.425,0.000,26848,1888,1625,263
5,0.200000,0.066667,561.315,79.444,76.716,3.512,720.987,0.000,28662,1922,1614,308
6,0.240000,0.080000,557.895,81.668,76.284,3.609,719.456,0.000,30222,1927,1615,312
7,0.280000,0.093333,566.146,82.087,77.683,3.600,729.516,0.000,30137,1966,1664,302
8,0.320000,0.106667,556.797,80.559,74.909,3.519,715.784,0.000,29303,1978,1685,293
9,0.360000,0.120000,553.568,80.111,79.639,3.691,717.009,0.000,30889,1992,1671,321
10,0.400000,0.133333,559.209,81.783,79.021,3.607,723.620,0.000,31405,2027,1719,308
11,0.440000,0.146667,570.990,83.434,85.325,3.481,743.230,0.000,33468,2077,1786,291
12,0.480000,0.160000,575.570,84.968,88.683,3.619,752.840,0.000,34619,2100,1801,299
13,0.520000,0.173333,568.488,81.980,90.869,3.599,744.936,0.000,34408,2236,1935,301
14,0.560000,0.186667,565.620,85.156,84.835,3.621,739.232,0.000,33480,2157,1859,298
15,0.600000,0.200000,576.383,84.330,96.227,3.603,760.543,0.000,37316,2192,1903,289
16,0.640000,0.213333,580.317,86.708,95.843,3.496,766.364,0.000,38134,2242,1975,267
17,0.680000,0.226667,571.115,91.077,95.489,3.614,761.295,0.000,38388,2256,2005,251
18,0.720000,0.240000,575.778,85.289,102.182,3.597,766.846,0.000,40343,2321,2051,270
19,0.760000,0.253333,570.075,89.305,108.849,3.600,771.829,0.000,44107,2376,2086,290
20,0.800000,0.266667,590.554,90.873,101.837,3.605,786.869,0.000,41932,2438,2143,295
21,0.840000,0.280000,600.711,87.207,104.663,3.490,796.071,0.000,43280,2379,2135,244
22,0.880000,0.293333,575.950,89.022,101.362,3.607,769.941,0.000,44522,2426,2171,255
23,0.920000,0.306667,750.480,93.693,114.199,3.601,961.973,0.000,48900,2521,2270,251
24,0.960000,0.320000,1079.323,98.117,119.340,3.589,1300.369,0.000,49498,2653,2426,227
25,1.000000,0.333333,1372.264,98.054,124.916,3.607,1598.841,0.000,50662,2664,2440,224
26,1.040000,0.346667,1521.903,96.011,124.344,3.517,1745.775,0.000,51170,2697,2518,179
27,1.080000,0.360000,1788.739,96.986,134.119,3.595,2023.439,0.000,55458,2758,2605,153
28,1.120000,0.373333,2012.852,94.174,148.972,3.605,2259.603,0.000,57366,3037,2866,171
29,1.160000,0.386667,2384.698,96.368,138.607,3.601,2623.274,0.000,59470,3089,2894,195
30,1.200000,0.400000,2525.027,94.762,147.146,3.600,2770.535,0.000,63216,3128,2975,153
31,1.240000,0.413333,2694.422,101.186,151.888,3.492,2950.988,0.000,66357,3336,3185,151
32,1.280000,0.426667,2823.811,102.409,158.265,3.599,3088.084,0.000,70141,3467,3294,173
33,1.320000,0.440000,3037.996,107.701,161.827,3.599,3311.123,0.000,70382,3581,3462,119
34,1.360000,0.453333,3011.468,101.925,161.213,3.611,3278.217,0.000,72615,3621,3520,101
35,1.400000,0.466667,3036.966,98.103,164.434,3.605,3303.108,0.000,71280,3526,3383,143
36,1.440000,0.480000,3063.787,97.847,162.922,3.487,3328.043,0.000,74795,3698,3605,93
37,1.480000,0.493333,3058.361,100.596,168.663,3.491,3331.111,0.000,77129,3745,3643,102
