mode,variant,build,fps,frame,width,height,phase,direction,interval_us,widget_us,output_us,reset_us,total_us,diff_probe_us,changed_cells,ansi_bytes,write_calls
bench,muster,release,25,0,240,80,0.000000,in,0.000,1639.736,697.591,13.522,2350.849,209.112,19200,194459,112925
bench,muster,release,25,1,240,80,0.013333,in,0.000,1642.481,621.633,13.543,2277.657,273.276,8513,149522,84179
bench,muster,release,25,2,240,80,0.026667,in,0.000,1683.927,630.857,13.500,2328.284,277.036,8549,151044,85160
bench,muster,release,25,3,240,80,0.040000,in,0.000,1690.566,656.038,13.373,2359.977,274.668,8695,160176,90215
bench,muster,release,25,4,240,80,0.053333,in,0.000,1769.107,681.329,13.479,2463.915,276.960,8809,160643,90498
bench,muster,release,25,5,240,80,0.066667,in,0.000,1926.135,701.669,16.756,2644.560,301.016,8878,160414,90520
bench,muster,release,25,6,240,80,0.080000,in,0.000,1767.257,753.174,13.614,2534.045,329.259,8952,165967,93654
bench,muster,release,25,7,240,80,0.093333,in,0.000,1797.969,796.802,14.226,2608.997,294.022,9188,174356,98320
bench,muster,release,25,8,240,80,0.106667,in,0.000,1866.741,761.936,16.883,2645.560,318.420,9195,176929,99984
bench,muster,release,25,9,240,80,0.120000,in,0.000,1846.108,684.544,13.525,2544.177,287.977,9460,177491,100274
bench,muster,release,25,10,240,80,0.133333,in,0.000,1800.845,729.655,13.650,2544.150,290.242,9585,183742,103805
bench,muster,release,25,11,240,80,0.146667,in,0.000,1816.409,755.673,13.721,2585.803,292.354,9632,182595,103296
bench,muster,release,25,12,240,80,0.160000,in,0.000,1826.618,846.279,13.748,2686.645,328.965,9746,192506,108767
bench,muster,release,25,13,240,80,0.173333,in,0.000,1969.744,781.036,13.416,2764.196,297.487,10025,195925,111052
bench,muster,release,25,14,240,80,0.186667,in,0.000,2116.125,806.067,13.532,2935.724,302.523,10156,200436,113363
bench,muster,release,25,15,240,80,0.200000,in,0.000,1851.471,780.788,13.729,2645.988,312.281,10260,202411,114620
bench,muster,release,25,16,240,80,0.213333,in,0.000,1870.650,760.984,13.402,2645.036,314.695,10441,208127,117756
bench,muster,release,25,17,240,80,0.226667,in,0.000,1874.957,806.286,13.469,2694.712,316.630,10505,211078,119543
bench,muster,release,25,18,240,80,0.240000,in,0.000,1871.956,801.334,13.634,2686.924,320.694,10515,217005,122810
bench,muster,release,25,19,240,80,0.253333,in,0.000,1853.023,841.620,13.861,2708.504,320.784,10642,219078,124145
bench,muster,release,25,20,240,80,0.266667,in,0.000,1924.771,928.107,16.788,2869.666,401.378,10610,222931,126116
bench,muster,release,25,21,240,80,0.280000,in,0.000,2073.808,856.580,14.961,2945.349,361.413,10661,223997,126948
bench,muster,release,25,22,240,80,0.293333,in,0.000,2017.570,856.671,13.390,2887.631,326.044,10709,224692,127423
bench,muster,release,25,23,240,80,0.306667,in,0.000,1928.334,863.426,14.865,2806.625,380.395,10573,223042,126390
bench,muster,release,25,24,240,80,0.320000,in,0.000,1944.373,824.422,13.418,2782.213,337.522,10647,227761,129146
bench,muster,release,25,25,240,80,0.333333,in,0.000,1967.546,867.331,14.121,2848.998,350.685,10669,229855,130349
bench,muster,release,25,26,240,80,0.346667,in,0.000,1994.603,903.939,13.505,2912.047,334.411,10603,232090,131541
bench,muster,release,25,27,240,80,0.360000,in,0.000,2076.272,953.706,15.414,3045.392,347.762,10733,236114,133791
bench,muster,release,25,28,240,80,0.373333,in,0.000,1951.471,852.943,13.401,2817.815,344.492,10987,239137,135749
bench,muster,release,25,29,240,80,0.386667,in,0.000,2036.261,940.595,13.394,2990.250,343.525,11049,242870,137844
bench,muster,release,25,30,240,80,0.400000,in,0.000,1964.687,914.229,15.881,2894.797,346.391,10738,240478,136389
bench,muster,release,25,31,240,80,0.413333,in,0.000,2143.287,886.029,15.364,3044.680,377.736,10758,242490,137545
bench,muster,release,25,32,240,80,0.426667,in,0.000,2172.441,999.874,13.569,3185.884,386.370,10767,245352,139141
bench,muster,release,25,33,240,80,0.440000,in,0.000,1983.329,936.116,15.021,2934.466,354.587,10826,248687,141085
bench,muster,release,25,34,240,80,0.453333,in,0.000,2033.977,944.688,14.452,2993.117,378.836,10842,249084,141412
bench,muster,release,25,35,240,80,0.466667,in,0.000,2055.113,949.410,13.521,3018.044,348.549,11041,252418,143475
bench,muster,release,25,36,240,80,0.480000,in,0.000,1989.261,915.215,13.399,2917.875,353.986,10698,253617,144024
bench,muster,release,25,37,240,80,0.493333,in,0.000,1972.304,938.110,13.947,2924.361,357.310,10768,254186,144316
bench,muster,release,25,38,240,80,0.506667,in,0.000,1984.417,901.081,13.908,2899.406,403.271,10777,253743,144066
bench,muster,release,25,39,240,80,0.520000,in,0.000,2986.658,966.090,13.543,3966.291,371.556,11125,262337,148552
bench,muster,release,25,40,240,80,0.533333,in,0.000,2820.835,984.130,14.955,3819.920,449.645,11269,275092,155701
bench,muster,release,25,41,240,80,0.546667,in,0.000,2897.377,1032.972,13.511,3943.860,383.896,11354,268948,152567
bench,muster,release,25,42,240,80,0.560000,in,0.000,3653.284,1041.725,13.398,4708.407,395.378,11862,290656,164144
bench,muster,release,25,43,240,80,0.573333,in,0.000,3641.454,1056.157,13.575,4711.186,401.021,12137,295508,167113
bench,muster,release,25,44,240,80,0.586667,in,0.000,3946.445,1265.117,16.373,5227.935,504.005,12757,326898,184140
bench,muster,release,25,45,240,80,0.600000,in,0.000,4510.077,1142.457,13.528,5666.062,416.351,13107,319705,180427
bench,muster,release,25,46,240,80,0.613333,in,0.000,4519.667,1285.349,13.557,5818.573,417.952,12687,313454,176880
