implementation,size,variant,frames,median_total_ms,p95_total_ms,p95_widget_ms,over_40ms_pct,mean_bytes
current,120x40,default,298,0.8561239999999999,5.830013,5.651569,0.0,58555.29530201342
current,120x40,muster,298,0.9059675,6.376772,6.077572,0.0,58871.85906040268
current,240x80,default,298,3.9170024999999997,24.670557000000002,23.979532,0.0,241693.12080536914
current,240x80,muster,298,3.0439860000000003,23.310271,22.782294999999998,0.0,242172.6510067114
worktree,120x40,default,298,3.417362,6.8618689999999996,6.697746,0.0,49907.281879194634
worktree,120x40,muster,298,3.968585,8.157445,7.817797,0.0,52112.718120805366
worktree,240x80,default,298,14.014571499999999,29.589234,28.627478,0.0,204100.9731543624
worktree,240x80,muster,298,15.377357499999999,28.212151000000002,27.396611,0.0,212537.89932885906
