frame,elapsed_s,zoom,render_us,diff_us,encode_us,reset_us,total_us,interval_us,bytes,changed_cells,glyph_changes,color_only_changes
0,0.000000,0.000000,2315.956,221.501,0.230,15.371,2553.058,0.000,19,0,0,0
1,0.040000,0.013333,2307.091,387.431,290.449,14.080,2999.051,0.000,110123,9446,8438,1008
2,0.080000,0.026667,2326.681,323.034,286.051,14.154,2949.920,0.000,113264,9564,8465,1099
3,0.120000,0.040000,2493.423,325.686,345.852,18.680,3183.641,0.000,112514,9576,8559,1017
4,0.160000,0.053333,2825.063,624.920,408.470,19.412,3877.865,0.000,115063,9569,8538,1031
5,0.200000,0.066667,2792.089,439.926,348.569,14.373,3594.957,0.000,119140,9733,8723,1010
6,0.240000,0.080000,2455.689,324.238,306.770,13.959,3100.656,0.000,121507,9794,8783,1011
7,0.280000,0.093333,2376.795,326.381,319.790,13.912,3036.878,0.000,125985,9899,8891,1008
8,0.320000,0.106667,2386.229,326.639,305.081,14.003,3031.952,0.000,128325,9971,8989,982
9,0.360000,0.120000,2401.454,333.453,328.917,13.956,3077.780,0.000,131381,10107,9177,930
10,0.400000,0.133333,2489.727,414.044,422.898,19.245,3345.914,0.000,135207,10204,9248,956
11,0.440000,0.146667,2722.728,409.838,635.429,14.795,3782.790,0.000,136401,10255,9312,943
12,0.480000,0.160000,2612.509,333.661,361.905,14.042,3322.117,0.000,142692,10478,9513,965
13,0.520000,0.173333,2453.132,335.953,350.973,13.991,3154.049,0.000,145797,10762,9828,934
14,0.560000,0.186667,2462.111,343.563,369.212,14.155,3189.041,0.000,153127,10665,9737,928
15,0.600000,0.200000,2749.370,425.214,411.865,14.685,3601.134,0.000,150494,10716,9768,948
16,0.640000,0.213333,2743.900,606.140,446.851,17.600,3814.491,0.000,155794,10741,9826,915
17,0.680000,0.226667,2705.379,346.571,384.796,13.972,3450.718,0.000,159316,10792,9859,933
18,0.720000,0.240000,2487.161,342.011,389.575,13.985,3232.732,0.000,160894,10755,9780,975
19,0.760000,0.253333,2477.778,346.702,403.144,14.071,3241.695,0.000,162726,10760,9877,883
20,0.800000,0.266667,2778.081,371.395,419.114,14.010,3582.600,0.000,166913,10813,9962,851
21,0.840000,0.280000,2679.268,753.870,533.822,14.681,3981.641,0.000,173024,10872,9952,920
22,0.880000,0.293333,2626.178,356.332,423.106,14.000,3419.616,0.000,176290,10980,10017,963
23,0.920000,0.306667,3223.176,361.117,411.699,14.017,4010.009,0.000,180814,11102,10234,868
24,0.960000,0.320000,4588.532,387.816,466.713,14.027,5457.088,0.000,193612,11212,10493,719
25,1.000000,0.333333,5984.004,394.308,533.469,14.008,6925.789,0.000,195824,11341,10634,707
26,1.040000,0.346667,7217.570,372.421,482.189,14.001,8086.181,0.000,205111,11405,10653,752
27,1.080000,0.360000,8099.617,422.665,526.837,16.481,9065.600,0.000,219043,11760,11107,653
28,1.120000,0.373333,9798.455,390.003,527.708,14.051,10730.217,0.000,226031,12387,11713,674
29,1.160000,0.386667,11110.901,377.704,550.442,13.972,12053.019,0.000,236699,12922,12271,651
30,1.200000,0.400000,11194.474,374.672,569.939,14.017,12153.102,0.000,245609,13298,12640,658
31,1.240000,0.413333,12577.184,402.419,597.185,14.019,13590.807,0.000,255500,13764,13181,583
32,1.280000,0.426667,13219.601,399.360,597.096,14.024,14230.081,0.000,267974,14317,13804,513
33,1.320000,0.440000,13631.496,531.101,735.667,17.794,14916.058,0.000,275673,14767,14354,413
34,1.360000,0.453333,13537.734,399.889,613.037,14.042,14564.702,0.000,279575,14990,14579,411
35,1.400000,0.466667,14404.050,395.129,572.035,13.968,15385.182,0.000,285145,15094,14737,357
36,1.440000,0.480000,14352.956,396.655,624.685,14.032,15388.328,0.000,290962,15237,14795,442
37,1.480000,0.493333,14951.255,485.607,695.645,17.447,16149.954,0.000,293448,15268,14858,410
38,1.520000,0.506667,14066.247,407.560,628.995,14.003,15116.805,0.000,294089,15353,14930,423
39,1.560000,0.520000,14810.225,404.809,662.755,14.069,15891.858,0.000,300379,15504,15065,439
40,1.600000,0.533333,14948.134,412.266,659.381,14.026,16033.807,0.000,302330,15663,15240,423
41,1.640000,0.546667,16350.609,465.667,723.093,17.461,17556.830,0.000,303449,15752,15322,430
42,1.680000,0.560000,14878.989,424.343,773.011,15.268,16091.611,0.000,309234,15846,15423,423
