frame,elapsed_s,zoom,render_us,diff_us,encode_us,reset_us,total_us,interval_us,bytes,changed_cells,glyph_changes,color_only_changes
0,0.000000,0.000000,669.890,71.479,0.113,4.708,746.190,0.000,19,0,0,0
1,0.040000,0.013333,725.897,109.226,99.385,4.234,938.742,0.000,26508,1794,1490,304
2,0.080000,0.026667,720.928,105.147,96.056,4.998,927.129,0.000,25611,1794,1472,322
3,0.120000,0.040000,810.119,127.852,103.626,4.936,1046.533,0.000,26225,1880,1548,332
4,0.160000,0.053333,780.624,104.541,105.424,5.616,996.205,0.000,26848,1888,1625,263
5,0.200000,0.066667,921.484,140.915,151.171,5.900,1219.470,0.000,28662,1922,1614,308
6,0.240000,0.080000,793.893,112.772,130.740,5.516,1042.921,0.000,30222,1927,1615,312
7,0.280000,0.093333,801.963,107.862,111.274,5.317,1026.416,0.000,30137,1966,1664,302
8,0.320000,0.106667,845.330,128.167,117.187,4.961,1095.645,0.000,29303,1978,1685,293
9,0.360000,0.120000,764.114,124.728,128.677,5.109,1022.628,0.000,30889,1992,1671,321
10,0.400000,0.133333,733.603,109.551,114.109,4.683,961.946,0.000,31405,2027,1719,308
11,0.440000,0.146667,737.285,110.670,122.616,4.681,975.252,0.000,33468,2077,1786,291
12,0.480000,0.160000,737.492,111.543,126.132,5.181,980.348,0.000,34619,2100,1801,299
13,0.520000,0.173333,749.151,113.571,129.411,5.265,997.398,0.000,34408,2236,1935,301
14,0.560000,0.186667,751.000,111.492,125.236,6.169,993.897,0.000,33480,2157,1859,298
15,0.600000,0.200000,748.075,113.763,137.666,5.815,1005.319,0.000,37316,2192,1903,289
16,0.640000,0.213333,754.946,115.818,138.039,6.065,1014.868,0.000,38134,2242,1975,267
17,0.680000,0.226667,756.111,115.376,138.790,5.591,1015.868,0.000,38388,2256,2005,251
18,0.720000,0.240000,763.815,153.546,145.945,6.767,1070.073,0.000,40343,2321,2051,270
19,0.760000,0.253333,758.207,127.510,163.858,4.267,1053.842,0.000,44107,2376,2086,290
20,0.800000,0.266667,776.158,128.109,172.115,5.931,1082.313,0.000,41932,2438,2143,295
21,0.840000,0.280000,866.687,124.535,154.290,7.014,1152.526,0.000,43280,2379,2135,244
22,0.880000,0.293333,812.686,94.412,117.621,4.112,1028.831,0.000,44522,2426,2171,255
23,0.920000,0.306667,792.160,94.305,120.385,3.584,1010.434,0.000,48900,2521,2270,251
24,0.960000,0.320000,1209.348,392.471,133.252,4.706,1739.777,0.000,49498,2653,2426,227
25,1.000000,0.333333,1627.077,125.857,126.536,3.600,1883.070,0.000,50662,2664,2440,224
26,1.040000,0.346667,1522.689,99.424,121.556,3.547,1747.216,0.000,51170,2697,2518,179
27,1.080000,0.360000,1803.332,95.833,141.008,3.627,2043.800,0.000,55458,2758,2605,153
28,1.120000,0.373333,2036.656,95.737,139.548,3.565,2275.506,0.000,57366,3037,2866,171
29,1.160000,0.386667,2383.969,95.221,141.822,4.030,2625.042,0.000,59470,3089,2894,195
30,1.200000,0.400000,2796.177,109.872,174.062,3.961,3084.072,0.000,63216,3128,2975,153
31,1.240000,0.413333,3295.822,135.263,198.199,5.033,3634.317,0.000,66357,3336,3185,151
32,1.280000,0.426667,2992.308,101.746,160.286,3.466,3257.806,0.000,70141,3467,3294,173
33,1.320000,0.440000,2981.090,107.491,156.676,3.580,3248.837,0.000,70382,3581,3462,119
34,1.360000,0.453333,3001.794,98.219,196.681,3.486,3300.180,0.000,72615,3621,3520,101
35,1.400000,0.466667,3085.541,98.837,158.936,3.569,3346.883,0.000,71280,3526,3383,143
36,1.440000,0.480000,3043.691,98.950,168.085,3.559,3314.285,0.000,74795,3698,3605,93
37,1.480000,0.493333,3130.238,107.190,174.269,3.758,3415.455,0.000,77129,3745,3643,102
38,1.520000,0.506667,3317.389,112.354,181.840,4.086,3615.669,0.000,75114,3689,3600,89
39,1.560000,0.520000,3426.076,101.831,169.036,3.568,3700.511,0.000,75970,3766,3678,88
40,1.600000,0.533333,3101.880,101.322,167.430,3.465,3374.097,0.000,76080,3784,3691,93
41,1.640000,0.546667,3370.852,111.965,169.661,3.569,3656.047,0.000,76791,3785,3682,103
42,1.680000,0.560000,3535.866,105.010,192.185,3.751,3836.812,0.000,79022,3880,3776,104
43,1.720000,0.573333,3424.969,138.209,259.823,4.790,3827.791,0.000,83680,3934,3810,124
44,1.760000,0.586667,3017.363,99.184,171.455,3.580,3291.582,0.000,78645,3986,3867,119
45,1.800000,0.600000,3114.936,102.174,160.909,3.581,3381.600,0.000,83248,4004,3876,128
46,1.840000,0.613333,3272.644,104.638,179.317,3.664,3560.263,0.000,80264,3976,3852,124
47,1.880000,0.626667,3591.641,140.775,192.200,3.665,3928.281,0.000,80216,4006,3882,124
48,1.920000,0.640000,3534.674,115.926,171.485,3.666,3825.751,0.000,79827,4089,3960,129
49,1.960000,0.653333,3377.392,128.484,173.803,3.499,3683.178,0.000,77002,4101,3973,128
50,2.000000,0.666667,3440.714,104.724,169.766,3.562,3718.766,0.000,76961,4122,3985,137
51,2.040000,0.680000,3251.007,103.003,168.224,3.569,3525.803,0.000,74357,4105,3929,176
52,2.080000,0.693333,3252.219,100.117,165.483,3.569,3521.388,0.000,73155,4177,4016,161
53,2.120000,0.706667,3331.419,101.050,160.650,9.476,3602.595,0.000,71266,4193,4045,148
54,2.160000,0.720000,3671.799,112.035,191.446,4.377,3979.657,0.000,70649,4209,4050,159
55,2.200000,0.733333,3430.052,102.418,159.074,3.544,3695.088,0.000,69222,4190,4010,180
56,2.240000,0.746667,3297.716,102.719,154.526,3.563,3558.524,0.000,69993,4287,4100,187
57,2.280000,0.760000,5767.113,101.279,173.283,3.568,6045.243,0.000,72374,4271,4094,177
58,2.320000,0.773333,6358.299,108.130,179.140,3.655,6649.224,0.000,73051,4310,4129,181
59,2.360000,0.786667,6740.094,120.389,203.197,4.500,7068.180,0.000,73213,4307,4094,213
60,2.400000,0.800000,6065.294,101.828,163.232,3.553,6333.907,0.000,71056,4234,3949,285
61,2.440000,0.813333,6223.974,108.944,156.642,3.675,6493.235,0.000,62736,4239,3921,318
62,2.480000,0.826667,6660.103,100.230,116.610,3.561,6880.504,0.000,51774,4148,3809,339
63,2.520000,0.840000,6290.349,121.442,116.689,4.342,6532.822,0.000,41231,3968,3655,313
64,2.560000,0.853333,6371.612,122.851,107.431,4.982,6606.876,0.000,31384,3720,3513,207
65,2.600000,0.866667,6049.123,96.281,68.239,3.552,6217.195,0.000,26485,3471,3317,154
66,2.640000,0.880000,6125.006,95.139,62.745,3.574,6286.464,0.000,23711,3203,3096,107
67,2.680000,0.893333,6292.420,120.154,75.218,4.510,6492.302,0.000,22181,2950,2869,81
68,2.720000,0.906667,6701.851,105.160,55.523,3.563,6866.097,0.000,20730,2588,2530,58
69,2.760000,0.920000,5862.535,113.042,63.899,4.536,6044.012,0.000,19371,2318,2247,71
70,2.800000,0.933333,7008.074,115.190,51.110,4.065,7178.439,0.000,17092,1743,1698,45
71,2.840000,0.946667,6700.582,113.956,42.640,4.691,6861.869,0.000,14203,1372,1333,39
72,2.880000,0.960000,7096.849,98.013,26.101,3.667,7224.630,0.000,11076,988,962,26
73,2.920000,0.973333,6347.179,79.305,18.111,3.583,6448.178,0.000,6997,609,582,27
74,2.960000,0.986667,6198.280,103.518,13.604,4.977,6320.379,0.000,3415,274,236,38
75,3.000000,1.000000,3285.718,90.725,5.943,5.237,3387.623,0.000,1477,95,84,11
76,3.040000,0.986667,6175.799,90.157,5.293,5.116,6276.365,0.000,1293,102,90,12
77,3.080000,0.973333,7278.203,103.514,11.697,4.940,7398.354,0.000,3327,286,250,36
78,3.120000,0.960000,6767.803,79.380,18.368,3.510,6869.061,0.000,6962,593,566,27
79,3.160000,0.946667,6697.746,87.276,25.714,3.508,6814.244,0.000,10908,974,948,26
80,3.200000,0.933333,7086.766,120.511,47.380,4.694,7259.351,0.000,14937,1394,1352,42
81,3.240000,0.920000,7079.593,97.163,42.180,3.565,7222.501,0.000,17273,1731,1682,49
82,3.280000,0.906667,6832.645,122.556,57.707,4.523,7017.431,0.000,20439,2299,2227,72
83,3.320000,0.893333,6514.077,121.230,71.921,4.516,6711.744,0.000,22190,2567,2503,64
