frame,elapsed_s,zoom,render_us,diff_us,encode_us,reset_us,total_us,interval_us,bytes,changed_cells,glyph_changes,color_only_changes
134,5.360000,0.213333,2895.117,394.633,372.518,14.438,3676.706,0.000,147497,10311,9384,927
135,5.400000,0.200000,3236.569,447.077,476.950,18.893,4179.489,0.000,144145,10287,9353,934
136,5.440000,0.186667,2546.262,337.392,355.644,14.025,3253.323,0.000,139792,10239,9293,946
137,5.480000,0.173333,2418.717,333.747,346.912,14.103,3113.479,0.000,135549,10107,9180,927
138,5.520000,0.160000,2482.162,427.176,360.401,14.399,3284.138,0.000,133107,10102,9157,945
139,5.560000,0.146667,2739.892,403.198,630.618,18.829,3792.537,0.000,129247,9905,8899,1006
140,5.600000,0.133333,2555.273,323.837,318.664,14.071,3211.845,0.000,125773,9687,8721,966
141,5.640000,0.120000,2379.646,316.884,298.803,14.058,3009.391,0.000,120118,9601,8643,958
142,5.680000,0.106667,2360.999,319.844,296.161,14.089,2991.093,0.000,115985,9346,8368,978
143,5.720000,0.093333,2355.203,318.685,286.392,14.114,2974.394,0.000,112890,9322,8383,939
144,5.760000,0.080000,2691.388,338.401,289.229,14.037,3333.055,0.000,109557,9143,8131,1012
145,5.800000,0.066667,2700.720,377.244,275.720,14.095,3367.779,0.000,107094,9107,8085,1022
146,5.840000,0.053333,2316.870,308.311,253.893,14.037,2893.111,0.000,102679,8880,7834,1046
147,5.880000,0.040000,2297.990,305.413,254.673,14.343,2872.419,0.000,100196,8716,7679,1037
148,5.920000,0.026667,2278.342,300.345,245.516,14.030,2838.233,0.000,96193,8472,7416,1056
149,5.960000,0.013333,2254.268,299.482,227.431,14.141,2795.322,0.000,92861,8330,7216,1114
