frame,elapsed_s,zoom,render_us,diff_us,encode_us,reset_us,total_us,interval_us,bytes,changed_cells,glyph_changes,color_only_changes
0,0.000000,0.000000,542.146,52.535,0.090,3.613,598.384,0.000,19,0,0,0
1,0.040000,0.013333,566.335,79.470,74.063,3.636,723.504,0.000,25548,1668,1380,288
2,0.080000,0.026667,590.777,79.023,73.030,3.614,746.444,0.000,26095,1743,1398,345
3,0.120000,0.040000,736.066,108.300,97.747,4.194,946.307,0.000,25773,1814,1510,304
4,0.160000,0.053333,623.635,91.141,87.577,4.167,806.520,0.000,26596,1790,1516,274
5,0.200000,0.066667,638.528,83.268,84.741,3.694,810.231,0.000,28969,1919,1614,305
6,0.240000,0.080000,633.982,104.660,110.005,4.755,853.402,0.000,30655,1988,1663,325
7,0.280000,0.093333,782.610,109.563,120.262,4.848,1017.283,0.000,31366,2043,1737,306
8,0.320000,0.106667,681.328,91.244,100.826,3.881,877.279,0.000,32365,2048,1796,252
9,0.360000,0.120000,723.072,118.333,124.611,4.997,971.013,0.000,33959,2147,1889,258
10,0.400000,0.133333,815.163,104.061,119.366,4.474,1043.064,0.000,34825,2138,1847,291
11,0.440000,0.146667,818.854,120.389,138.821,4.823,1082.887,0.000,35742,2212,1915,297
12,0.480000,0.160000,915.784,114.621,146.757,4.056,1181.218,0.000,38327,2249,1972,277
13,0.520000,0.173333,722.502,107.703,127.656,3.986,961.847,0.000,38781,2395,2101,294
14,0.560000,0.186667,641.422,87.173,108.145,3.600,840.340,0.000,39865,2252,1988,264
15,0.600000,0.200000,620.140,87.861,115.863,3.629,827.493,0.000,39385,2346,2083,263
16,0.640000,0.213333,623.301,89.235,116.822,3.483,832.841,0.000,41658,2384,2136,248
17,0.680000,0.226667,626.301,89.477,127.836,3.585,847.199,0.000,42694,2456,2191,265
18,0.720000,0.240000,625.890,90.602,120.712,3.491,840.695,0.000,42145,2419,2150,269
19,0.760000,0.253333,625.387,89.993,117.822,3.579,836.781,0.000,41820,2431,2197,234
20,0.800000,0.266667,633.841,92.286,129.443,3.511,859.081,0.000,43616,2414,2184,230
21,0.840000,0.280000,680.121,100.911,144.264,3.878,929.174,0.000,45326,2435,2176,259
22,0.880000,0.293333,712.521,94.334,129.701,3.596,940.152,0.000,45177,2484,2242,242
23,0.920000,0.306667,832.771,98.070,141.079,3.609,1075.529,0.000,47142,2574,2339,235
