mode,variant,build,fps,frame,width,height,phase,direction,interval_us,widget_us,output_us,reset_us,total_us,diff_probe_us,changed_cells,ansi_bytes,write_calls
bench,platoon,release,25,0,120,40,0.000000,in,0.000,419.413,166.994,3.473,589.880,55.511,4800,51450,29735
bench,platoon,release,25,1,120,40,0.013333,in,0.000,414.418,149.467,3.393,567.278,70.701,1772,37012,20857
bench,platoon,release,25,2,120,40,0.026667,in,0.000,408.071,152.758,3.350,564.179,70.617,1826,37553,21213
bench,platoon,release,25,3,120,40,0.040000,in,0.000,413.397,151.196,3.580,568.173,73.415,1797,38060,21558
bench,platoon,release,25,4,120,40,0.053333,in,0.000,428.317,163.755,3.397,595.469,69.507,1852,39706,22468
bench,platoon,release,25,5,120,40,0.066667,in,0.000,423.347,162.357,3.474,589.178,72.503,1847,39302,22257
bench,platoon,release,25,6,120,40,0.080000,in,0.000,425.347,159.910,3.386,588.643,71.796,1877,40971,23194
bench,platoon,release,25,7,120,40,0.093333,in,0.000,425.146,161.868,3.413,590.427,80.554,1928,41481,23520
bench,platoon,release,25,8,120,40,0.106667,in,0.000,429.723,172.390,3.493,605.606,73.653,1889,41911,23741
bench,platoon,release,25,9,120,40,0.120000,in,0.000,435.076,168.732,3.382,607.190,71.419,1940,41106,23342
bench,platoon,release,25,10,120,40,0.133333,in,0.000,443.836,169.286,3.401,616.523,75.020,1944,43699,24775
bench,platoon,release,25,11,120,40,0.146667,in,0.000,455.678,179.790,3.507,638.975,76.356,1984,43564,24708
bench,platoon,release,25,12,120,40,0.160000,in,0.000,504.852,188.603,3.448,696.903,79.380,2036,45575,25905
bench,platoon,release,25,13,120,40,0.173333,in,0.000,456.754,184.414,3.394,644.562,75.038,2080,44904,25612
bench,platoon,release,25,14,120,40,0.186667,in,0.000,462.385,187.211,3.486,653.082,75.593,2091,45644,25962
bench,platoon,release,25,15,120,40,0.200000,in,0.000,458.357,196.985,3.565,658.907,81.557,2113,47026,26709
bench,platoon,release,25,16,120,40,0.213333,in,0.000,463.225,183.394,3.391,650.010,77.907,2167,48124,27372
bench,platoon,release,25,17,120,40,0.226667,in,0.000,460.237,196.492,3.484,660.213,79.490,2160,48625,27696
bench,platoon,release,25,18,120,40,0.240000,in,0.000,468.578,187.623,3.391,659.592,78.547,2161,49055,27962
bench,platoon,release,25,19,120,40,0.253333,in,0.000,458.233,191.341,3.403,652.977,77.156,2239,51022,29051
bench,platoon,release,25,20,120,40,0.266667,in,0.000,469.581,192.621,3.387,665.589,77.379,2225,50144,28553
bench,platoon,release,25,21,120,40,0.280000,in,0.000,478.929,186.289,3.400,668.618,78.852,2213,49919,28473
bench,platoon,release,25,22,120,40,0.293333,in,0.000,479.842,202.415,3.465,685.722,80.991,2288,52564,29965
bench,platoon,release,25,23,120,40,0.306667,in,0.000,480.008,212.165,3.433,695.606,99.500,2328,53240,30408
bench,platoon,release,25,24,120,40,0.320000,in,0.000,483.872,199.134,3.459,686.465,85.503,2353,53053,30336
bench,platoon,release,25,25,120,40,0.333333,in,0.000,485.388,210.439,3.400,699.227,81.638,2366,54491,31137
bench,platoon,release,25,26,120,40,0.346667,in,0.000,505.308,216.621,3.486,725.415,85.363,2385,54704,31235
bench,platoon,release,25,27,120,40,0.360000,in,0.000,496.655,217.577,3.436,717.668,86.359,2431,56610,32318
bench,platoon,release,25,28,120,40,0.373333,in,0.000,503.249,224.801,3.389,731.439,86.170,2554,60807,34778
bench,platoon,release,25,29,120,40,0.386667,in,0.000,501.276,209.207,3.389,713.872,89.036,2608,58718,33703
bench,platoon,release,25,30,120,40,0.400000,in,0.000,495.304,231.333,3.441,730.078,87.296,2525,59168,33788
bench,platoon,release,25,31,120,40,0.413333,in,0.000,495.472,213.388,3.397,712.257,85.680,2552,58515,33517
bench,platoon,release,25,32,120,40,0.426667,in,0.000,507.104,215.368,3.392,725.864,86.770,2624,60876,34809
bench,platoon,release,25,33,120,40,0.440000,in,0.000,509.595,235.176,3.472,748.243,90.731,2606,61148,34999
bench,platoon,release,25,34,120,40,0.453333,in,0.000,490.162,236.659,3.360,730.181,88.163,2634,61012,34946
bench,platoon,release,25,35,120,40,0.466667,in,0.000,488.052,240.550,3.459,732.061,91.187,2734,64646,37022
bench,platoon,release,25,36,120,40,0.480000,in,0.000,511.565,234.415,3.381,749.361,89.604,2623,61813,35421
bench,platoon,release,25,37,120,40,0.493333,in,0.000,495.161,220.850,3.392,719.403,90.772,2682,64330,36862
bench,platoon,release,25,38,120,40,0.506667,in,0.000,498.396,238.228,3.378,740.002,90.603,2659,62635,35936
bench,platoon,release,25,39,120,40,0.520000,in,0.000,702.370,245.199,3.357,950.926,91.498,2720,63381,36276
bench,platoon,release,25,40,120,40,0.533333,in,0.000,706.798,257.359,3.481,967.638,99.451,2767,68701,39220
bench,platoon,release,25,41,120,40,0.546667,in,0.000,715.031,240.219,3.393,958.643,98.386,2839,69693,39811
bench,platoon,release,25,42,120,40,0.560000,in,0.000,919.125,259.274,3.388,1181.787,120.568,2913,71530,40788
bench,platoon,release,25,43,120,40,0.573333,in,0.000,911.647,256.975,3.386,1172.008,96.546,2856,67174,38542
bench,platoon,release,25,44,120,40,0.586667,in,0.000,937.171,284.547,3.498,1225.216,102.982,3109,85317,48132
bench,platoon,release,25,45,120,40,0.600000,in,0.000,1128.485,285.021,3.509,1417.015,109.669,3282,78684,44801
bench,platoon,release,25,46,120,40,0.613333,in,0.000,1146.863,279.119,3.394,1429.376,106.123,3160,77334,43944
bench,platoon,release,25,47,120,40,0.626667,in,0.000,1349.336,287.438,3.414,1640.188,103.347,3257,79258,44926
bench,platoon,release,25,48,120,40,0.640000,in,0.000,1368.035,301.057,3.408,1672.500,107.294,3228,80902,45900
bench,platoon,release,25,49,120,40,0.653333,in,0.000,1566.309,307.049,3.380,1876.738,113.340,3359,85982,48556
bench,platoon,release,25,50,120,40,0.666667,in,0.000,1575.754,301.084,3.389,1880.227,109.656,3360,84869,47992
bench,platoon,release,25,51,120,40,0.680000,in,0.000,1776.298,285.165,3.350,2064.813,112.999,3432,85323,48139
bench,platoon,release,25,52,120,40,0.693333,in,0.000,2011.150,293.175,3.466,2307.791,110.253,3495,88708,49857
bench,platoon,release,25,53,120,40,0.706667,in,0.000,1949.830,306.611,5.552,2261.993,104.364,3624,90921,51035
bench,platoon,release,25,54,120,40,0.720000,in,0.000,2168.939,384.659,3.368,2556.966,102.915,3632,89823,50344
bench,platoon,release,25,55,120,40,0.733333,in,0.000,2176.882,304.520,3.385,2484.787,106.188,3696,90255,50638
