stage,mode,variant,size,frames,median_ms,p95_ms,p99_ms,max_ms,over_40ms_pct,widget_p95_ms,output_p95_ms,produced_fps,interval_p95_ms,gaps_over_60ms_pct
paired-baseline,bench,platoon,320x100,298,5.065782499999999,37.924978,39.319244,39.808113,0.0,36.975753,1.977923,,,
paired-optimized,bench,muster,120x40,298,0.5914145,4.410014,4.6418159999999995,4.675338,0.0,4.249515000000001,0.310024,,,
paired-optimized,bench,muster,240x80,298,2.3553675,17.603725999999998,20.239216,21.211589,0.0,16.959522,1.220998,,,
paired-optimized,bench,muster,320x100,298,4.421442000000001,28.802616,30.577330000000003,31.115426,0.0,27.718758,2.034933,,,
paired-optimized,bench,platoon,120x40,298,0.5978885,4.469467,4.743297999999999,4.772553,0.0,4.334796,0.304043,,,
paired-optimized,bench,platoon,240x80,298,2.366262,17.893854,19.017286,19.286572,0.0,17.408679,1.2102,,,
paired-optimized,bench,platoon,320x100,298,3.8815345,29.883117,31.669815999999997,31.956726,0.0,28.98833,1.943276,,,
preformat-baseline,bench,muster,120x40,298,0.8516125,6.080064,6.445431999999999,6.498422,0.0,5.892246,0.31829,,,
preformat-baseline,bench,muster,240x80,298,3.0048565,23.358926,24.04921,24.14134,0.0,22.804475999999998,1.168216,,,
preformat-baseline,bench,muster,320x100,298,5.042875,39.411061000000004,40.525529,41.223014000000006,2.348993288590604,38.525098,2.01287,,,
preformat-baseline,bench,platoon,120x40,298,0.757023,5.646241,5.848578000000001,5.857937,0.0,5.509753,0.307666,,,
preformat-baseline,bench,platoon,240x80,298,3.08715,22.979461,23.544441,23.758796999999998,0.0,22.300347000000002,1.1844670000000002,,,
preformat-baseline,bench,platoon,320x100,298,4.9298945,37.971663,39.093903,39.571231,0.0,36.796745,1.974721,,,
preformat-optimized,bench,muster,120x40,298,0.611459,4.419798,4.717613,4.798839,0.0,4.256970999999999,0.31124,,,
preformat-optimized,bench,muster,240x80,298,2.3419545,17.261855999999998,18.526304,19.289064999999997,0.0,16.650521,1.185231,,,
preformat-optimized,bench,muster,320x100,298,4.050739500000001,28.863445,31.131967,31.688903,0.0,27.794621,1.990113,,,
preformat-optimized,bench,platoon,120x40,298,0.581708,4.517,4.791957,6.656376,0.0,4.376558,0.301516,,,
preformat-optimized,bench,platoon,240x80,298,2.347417,17.868295999999997,18.95791,19.112505000000002,0.0,17.314931,1.1930209999999999,,,
preformat-optimized,bench,platoon,320x100,298,3.9790655,30.061373,31.898773000000002,32.192551,0.0,29.036476999999998,1.970442,,,
